model,backend,search,beam_width,max_caption_length,model_input_length,bleu4,meteor,num_predictions,batch_size,execution_time_seconds,seconds_per_image,predictions_path
lstm_layers1_hidden2,keras,greedy,,10,38,0.0,0.0,1000,1024,1.7421086249960354,0.0017421086249960354,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers1_hidden2_keras_greedy_maxlen10.json
lstm_layers1_hidden2,keras,greedy,,20,38,0.0,0.0,1000,1024,0.5524804579999909,0.000552480457999991,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers1_hidden2_keras_greedy_maxlen20.json
lstm_layers1_hidden2,keras,greedy,,38,38,0.0,0.0,1000,1024,1.132429332996253,0.0011324293329962529,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers1_hidden2_keras_greedy_maxlen38.json
lstm_layers1_hidden2,scratch,greedy,,10,38,0.0,0.0,1000,1024,2.5734395000035875,0.0025734395000035874,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers1_hidden2_scratch_greedy_maxlen10.json
lstm_layers1_hidden2,scratch,greedy,,20,38,0.0,0.0,1000,1024,2.2108245419949526,0.0022108245419949525,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers1_hidden2_scratch_greedy_maxlen20.json
lstm_layers1_hidden2,scratch,greedy,,38,38,0.0,0.0,1000,1024,2.14857975000632,0.00214857975000632,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers1_hidden2_scratch_greedy_maxlen38.json
lstm_layers1_hidden4,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,6.67013716600195,0.0066701371660019505,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers1_hidden4_keras_greedy_maxlen10.json
lstm_layers1_hidden4,keras,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,9.341351334000137,0.009341351334000138,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers1_hidden4_keras_greedy_maxlen20.json
lstm_layers1_hidden4,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,39.08354895800585,0.03908354895800585,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers1_hidden4_keras_greedy_maxlen38.json
lstm_layers1_hidden4,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,24.17680516699329,0.02417680516699329,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers1_hidden4_scratch_greedy_maxlen10.json
