factor,value,mean_validation_macro_f1,best_validation_macro_f1,num_runs
conv_layers,1,0.48871053427958894,0.5259418553471821,8
conv_layers,2,0.6052870079574333,0.6638268743428183,8
filters,16,0.48675684723497586,0.5259418553471821,4
filters,16-32,0.5891156212195336,0.607773893769293,4
filters,32,0.490664221324202,0.5078009366046797,4
filters,32-64,0.6214583946953328,0.6638268743428183,4
kernels,3,0.4634706054660974,0.5007004676910038,4
kernels,3-3,0.5961433830126158,0.6329338517724882,4
kernels,5,0.5139504630930805,0.5259418553471821,4
kernels,5-5,0.6144306329022506,0.6638268743428183,4
pooling,average,0.5312919420467931,0.6022247835713483,8
pooling,max,0.5627056001902291,0.6638268743428183,8
